BuildingIndex,Year,Month,Day,Hour,Quarter,ESS#1 Scheule[MW],ESS#2 Scheule[MW],ESS#1 SOC[%],ESS#2 SOC[%],
1,2017,4,1,0,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,0,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,0,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,1,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,1,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,1,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,1,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,2,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,2,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,2,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,2,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,3,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,3,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,3,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,3,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,4,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,4,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,4,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,4,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,5,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,5,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,5,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,5,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,6,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,6,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,6,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,6,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,7,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,7,1,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,7,2,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,7,3,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,8,0,0.000000,0.000000,50.000000,50.000000,
1,2017,4,1,8,1,0.000000,0.000000,50.000000,50.000000,
